asin,price,overall,unixReviewTime
0739040375,22.38,4.628571428571429,1258033371.4285715
0739046500,22.98000000000001,3.9875,1249362360.0
0739079883,97.64999999999996,4.481481481481482,1363867200.0
0767851013,14.969999999999976,4.479166666666667,1253911628.5714285
1384719342,7.089999999999997,4.25531914893617,1384833906.3829787
1417030321,4.010000000000123,4.448275862068965,1179868752.7093596
6302598834,9.990000000000006,4.465116279069767,1266567739.5348837
B000002LB7,9.490000000000006,4.47887323943662,1160118354.9295774
B000002SO0,5.160000000000004,4.640625,1241838000.0
B000005OMF,25.95000000000002,4.3023255813953485,1128962679.0697675
B00000DGSW,18.25,4.586956521739131,1188685565.2173913
B00000I038,24.980000000000015,4.5227272727272725,1136067709.090909
B00000IS02,58.71999999999999,4.9,1339236720.0
B00001W0DT,76.94999999999993,4.06,1209105792.0
B0000255CL,4.990000000000003,4.790697674418604,1159652762.7906976
B00004IC9G,11.100000000000007,4.425,1162365120.0
B00004TT3F,19.990000000000006,4.066666666666666,1336158720.0
B00004TVSF,13.830000000000002,4.795454545454546,1297938109.090909
B00004UE29,8.880000000000026,4.698717948717949,1354304492.3076923
B00004UE2D,139.98999999999987,4.291666666666667,1243155600.0
B00004UFRO,110.0,2.963636363636364,1293098530.909091
B00004XQ83,7.0,4.677376171352075,1182560038.5542169
B00005EBJG,9.990000000000007,4.792079207920792,1078750194.059406
B00005ML71,12.54999999999997,4.2086330935251794,1324481542.4460433
B00005OL4U,10.0,2.5217391304347827,1060165565.2173913
B00005QZH2,9.490000000000007,4.469026548672566,1172334074.3362832
B00005RT4Q,10.990000000000004,4.6571428571428575,1299028937.142857
B00006343B,26.80999999999996,3.1052631578947367,1181937221.0526316
B000068IDU,17.98000000000001,3.5283018867924527,1310934158.490566
B000068NSX,25.0,4.277777777777778,1364400000.0
B000068NTU,6.08999999999999,4.582278481012659,1361367615.1898735
B000068NTZ,6.800000000000004,4.682926829268292,1355497990.2439024
B000068NVI,6.790000000000008,4.647887323943662,1368590602.8169014
B000068NW5,7.980000000000015,4.4721189591078065,1373642444.6096654
B000068NW9,14.949999999999992,4.40625,1375080300.0
B000068NYY,4.189999999999999,4.354838709677419,1381469109.6774194
B000068NZC,7.699999999999994,4.5,1365357600.0
B000068NZG,6.990000000000006,3.6702127659574466,1355497429.787234
B000068O1N,5.610000000000009,4.36144578313253,1362184481.9277108
B000068O3D,5.529999999999985,4.292035398230088,1365945769.9115045
B000068O3X,3.659999999999997,4.66,1367121024.0
B000068O4H,5.460000000000001,3.980392156862745,1375306729.4117646
B000068O59,7.279999999999992,4.63265306122449,1373104065.3061225
B00006HO3L,22.949999999999974,4.338842975206612,1341860548.7603307
B00006HO3R,145.20999999999964,3.6930693069306932,1336393283.1683168
B00006HOLL,65.17000000000006,3.9401709401709404,1274998153.8461537
B00006I51V,29.98999999999988,3.8701298701298703,1262229942.857143
B00006I523,131.05999999999995,3.6082474226804124,1316990746.3917525
B00006I5SA,32.99,4.21875,1277518500.0
B00006I5SB,74.95000000000044,4.394495412844036,1310904396.3302753
B00006I5SD,28.0,4.520408163265306,1330152685.7142856
